location	aan	agent	als	beiden	besluit	bij	buiten	daar	dan_1	dat	de_12	door	een_count	een_det	er	even	extra	gerinkel	glas	glaszetter_1	goed	gooien	he	heel	hem	het	hij_2	hoek	houden	huizen	in	ineens	is	jongetje_2	juist	klein	klinkt	korte	krijgen	later	let	loopt_1	lopen	lukt	maar_3	met_1	mevrouw	naar	net	niet	nou	nu	of	om	ontdaan	ook	op	pakken	politieagent	repareren	ruit	ruiten	samen	sneuvelen	staan	stapt	steen	stil	straat	straten	te_1	tijd	toevallig	van_2	veel	vraagt	vrouw	wil_1	ze_1	ziet
Veenwouden	ʊn	plisiman	ɑs	bɛidə	bəslyt	bi	butn	dɛ	dɑn	dɑt	də	trʊ	ɪ	ə	dər	eifə	ɛkstrə	ɡərɪŋkəl	ɡlɛs	ɡlɛsɛtər	ɡut	ɡʊiə			əm	ət	e	hukə	hʌdn	huzn	ɪn	ɪnɪnn	ɪs	jɔŋkjə	krɛkt	lits	klɪŋkt	kuɑtskɒfkə	kræiən	lɛtər	lɛt	rɪnt	rɪnn	lʏkt	mɑr	mɛ	frau	nə	krɛk	nɛt		nɑ	dɑt	ɔm	fəslax		ɔp	pɑkŋ	pliʃəman	mɑitʃə	ryt	rytn	təɡɛrə	snøfələ		rɪnt	stɪ	stɪl	dik		tə	tit	təfɑləx	fan		freixət	frau	sʌl	sə	ʃʏxt
Venray	an	æçænt	ɑs	ɑləbɛ	bəslyt	bɪ	bytə	dʌ	dɑn	dɑ	də	dʏʀ	ɪ	ə	dəʀ	ɪfkəs	ækstʀa	çəʀɪŋkəl	çlɑs	çlɑsætəʀ	çut	çʊiə	he		əm	ət	hɪʀ	huk	hɑldə	hyz	ɪn	nɛs	ɪs	mænəkə	jyst		klɪŋk	kɒʀtə	kʀijə	lɑtəʀ	læt	lœpt	lɯəpə	lʏkt	maʀ	mæt	fʀɒu	nə	næt	ni	nɑu	nɑu	ɒf	œm	ɔndɒɑn	ɒk	ɔp	pɑkə	pliʃə	ʀəpəʀɪʀə	ʀyt	ʀytə	samə	çʌnkəpʌt		stɑpt	stɪn	stɪl	stʀʌ	stʀʌətə	tə	tit	tufɑləç	fən	fɪl	fʀɒçt	fʀɒu	wɪl	z	zit
Veurne	œp	pɒliʃə	ʌt	ɒlətwi	bəslyt	bi	bytn	dʊ	tʊnə		də	dʏr	ɪ	ə	dər	əbecə		həriŋkəl	χlɑs	hlʊzəmʌkər	hud	smitn		stif	æm	t	m	uk	pɑkŋ	yzn	ɛ	ɒmətəkir	ɪs	fɪncə	ʃyst	klɪn	kliŋk	kɒrtn		lɒtər	læt	lɒpt	lopm	lʏkt	mɒr	mæt	mɑdɑm	nɑ	ʃyst	ni		ny	ɒfdɑt	fʊ	fərsχotn		ɔp	pɑkŋ	pɒliʃə	fəmɑkŋ	rytə	rytn	topə	snøfəln		stɑpt	stɪ	stɪl	strɒtə		tə	tit		fan		frɑht	frouə	wɛl		sit
Vrouwenparochie	ɑn	pəlisi	ɑt	bɒidə	bəslyt	bai	bytən	da	dan	dɑ	də	dʏr	ei	ə	dər	əskɒfʃə		ɡərɪŋkəl	ɡl̴as	ɡlɑsɛtər	ɡut	smitə	hei		əm	ət	i	huk	hauən	hyzn	ɪn	ɪneinn	ɪs	jɔŋki	krɛkt	klɑin	kl̴ɪŋkt	klɒinskɒftsi	kræiən	latər	sit	loupt	loupm	l̴ʏkt	mar	mɛt	frɑu	na	krɛkt	nit	nau		ʌf	ɔm	skrɔkə	ouk	ɪn	pakən	pəlisi	makə	ryt	rytn	təɡar	snøfələ		stapt	stein	stɪl	strat	stratn	tə	tit	tufaləx	fan		fraxt	frau	ʋɪl	sə	sit
Waubach	a	pʊlis	wæn	ɑləbei	bəʃlyt	bɛi	butə	dʌ	dan	dɑt	dəʀ	dœʀç	e			çæt	ækstʀə	çəʀɪŋkəl	çlas	çlɑsætəʀ	çʊt	wæʀpə	hei	çɑns	əm	ət	əʀ	æk	houə	huzə	ɛn	ɔpɪns	ɪʃ	jʏŋskə	çʀat			kɒʀtə	kʀiçə	latəʀ	læt	lœpt	lopə	lœkt	mɑʀ	mæt	fʀɑu	nə	çʀat	nɪt		nu	ɒf	ɔm	çəsçʀɔkə	ouk	ɔp	pɑkə	pəlis	mɑkə	ʀut	ʀutə	sɑmə	çɒnkɑpʊt		kʏmt	ʃte	ʃtɪl	ʃtʀɔət	ʃtʀɔətə	tə	tit	tufɑləç	fən	fʏl	fʀʏçt	fʀɑu	wɪl	zə	zit
Wervershoof	ɑn	tyt	ɑʃ	bɒidə	bəslɪst	bai	baytə	di	dɛn	da	də	dʏr	i	ə	ə	ɛfis	ɛkstra	xərɪŋkəl	xlas	xlasɛtər	xut	xʊiə		fəsxrɪkələk		ət	hɛ	huk	hauə	hayzə	ɪn	ɪnins	ɪs	jɔwi	jayst	klɒin	klɪŋkt	kɒrtə		latər	lɛt	lʌupt	lɑupə		mɑr	mɛt	frau	nə	nɛt	nit	nau	nɑu	ɒf	ɔm	ɔndain		ɔp	pakə	tyt	makə	ram	ramə	samə	xanstɪk		stapt	stɪ	stɪl	strɛit	strɛitə	tə	tʌit	tufaləx	fan	fœl	fraxt	frau	wɪl	sə	sit
Westhoek	ɑn	pəlisi	ɑt	bɒidə	bəsl̴yt	bai	bytn	dæ	dan	da	də		ei	ə	dər	ənhʏtsi		ɡərɪŋkəl	ɡl̴as	ɡl̴ɑsɛtər	ɡut	ɡʊiə	hei		əm	ət	hɛi	huk	hauən	hyzn	ɪn	ɪneis	ɪs	jɔŋki	krɛkt	klɑin	kl̴ɪŋkt	hʏtsi	kræiən	l̴atər	sit	loupt	lʌupm	l̴ʏkt	mɑr	mɛt	frau	na	krɛkt	nit	nau	nɑu	ɒt	əm	ɔndɛin	ouk	ɔp	pɑkən	pəlisi	makə	ryt	rytn	təɡar	snøfələ		stapt	stein	stɪl	dik		tə	tit	tufaləx	fan	fœl		frau	sɛl	sə	sit
Westkapelle	ɑn	pʊlisi	ɑs	ʊləbæi	bəslyt	bei	bytn	dæ	dɑn	dɑ	də	dʏr	ɪ	ən	dər	eifə	ækstrɑ	xəriŋkəl	hlɑs	χlɑsætər	χut	χʊiə		ɪl	æm	t	m	uk	aən	yzn	ɛ	ənis	ɪs	juəcə	jyst	klɛin	klɪŋkt	kɒrtə		lætər	læt	loupt	loupən	lœkt	mɑr	mæt	frauə	næ	næt	ni	nʊ	nu	ɒf	ɔm	ɔndæn	ouk	ɔp		pʊlisi	mækə	rytə	rytən	sæmən	snøfələ		stapt	stei	stɪl	strætə	strætn	tə	tit	tufɑləχ	fan	fɛ	fraχt	frauə	wɛl	zə	sit
Workum	ʊn	pliʃə	ɒt	baidə	bəslyt	bai	bytn	dɛr	dɑn	da	də	trʏ	ɪ	ə		eifə	ɛkstra	ɡərɪŋkəl	ɡl̴ɛs	ɡlɛsɛtər		ɡʊiə	hei			ət	ə	hukə	hʌdn	hysn	in	ɪnɪs	ɪs	jɔŋkjə		lits	klɪŋkt	kɒrtə	kræiə	lɛtər	lɛt	rɪnt	rɪnn	lʏk	mɑr	mai	frau	na	krɛk	nɛt		nɑu	ɒt				ɪn	pakə	pliʃə	repərɪrə	ryt	rytn	təɡɛrə	ɡɛnstɪkə	stɪn	stapt		stɪl	strɪtə	strʏtn	tə	tit	tufɑləx	fan		freixət	frau	ʋɔl	sə	ʃʏxt
Zandvliet	ɑn	pɒlis	ɑs	ɑlətwɑi	bəslist	bɛi	bœtə	dər	dan	dɑ	də	dʏr	ɪn	ən	dər	əbitʃə		çəriŋkəl	çlas	çlʌsəmʌkər	hɑrt	çʊiə	hei	hil		t	m	uk	hɑuə	œzə	in	ɪnɪs	ɪs	juəskə	ʃyst	klɛin	kliŋkt	kœrtən		lɑtər	læt	lɔpt	lɤpə	lʏk	mɒr	mɪt	madam	nər	tʃyst	ni	nɑu	nɑu	ɒfdat	ɔm		ʊk	ɔp	pakə	pɒlis	mʌkə	rʌm	rʌmə	sʌmə	xɒnkæpɒt		stapt	stɪ	stɪl	strɑt	strʌtə	tə	tæt	tufɑləx	fan	fœl	frɑçt	madam	wʏl	z	sit
Zevenhuizen	a	plitsi	az	baidn	bəslyt	bɑi	bytn	də	dan	dæ	də	dʏr	ɪ	ə	ə	əsxɒfkə	ɛkstrə	xərɪŋkəl	xlas	xlasɛtər	χud	xʊin	hei			hɛt	hɛ	huk	hɒln	hyzn	in	ɪneins	ɪs	jʌŋkjə	nɛt	lø		sxʌfkə	kriɡŋ	lʊdər		lʌpt	lʌupm			mɛt	frau	nə	nɛt	nit	nau		ɒf	ʏm	aslɒɡŋ		ɔp	pɑkŋ	pəlitsi	mʌkŋ	xlas	rʊmm	sɒmm	xɒnstʏk		stap	stein	stɪl	strʊt	strʊtn	tə	tit	tufaləx	fan	føl	frʊxt	frau	ʋɪl		sɪxt
Zierikzee	ɑn	ɑχɛnt	ɑt	bæiə	bəslyt	bi	bytə	da	dɑn	dɑ	də	dʏr	en	nə	dər	eifən	ækstra	xərɪŋkəl	χlɑs	χlɑsætər	xut	xʊiə		ɪl		hɛt	m	huk	aun	ysn	ɪ	ɪnɪs	ɪs	jɔŋəcə	jyst	klɛin	kliŋkt	kɒrtə	krɪχən	latər	kik	l̴ɑpt	lɑpə	lʏkt	mɑ	mət	məfrau	na	næt	ni	nʊ	nu	ɒf	ɔm	ɔndan	ok	ɔp	pɑkə	pəlisiɑχɛnt	makə	rytə	rytən	samə	snøfələ		stɑp	steinə	stɪl	stratə		tə	tit	tufɑləχ	fɑn	fe	fraχt	frauə	wɪl	sə	sit
Zwinderen	ɑn	ɑxɛnt	ʋənɪr	bɛidn	bəslœt	bai	bytn	dʌ	dɑn		də	dʏr	e	ə	ər	ebm	ɛkstra	xərɛŋkəl	xlɑs			xʊin				hɛt	ɪ	hɯk	hɒln	huzn	ɪn	ɪnes	ɪs	jɒxi	nɛt	klɛin		kʌrtə		latər		lœp	lopm		mar		frɑu	nɑ	jyst	nit			ɒf	ɔm	bətøtərt		ɔp	pɑkŋ	pəlitsiɑxɛnt	makŋ	rutə	rutn		snøfəlt		kɔm	stɪ	rʏstəx	strʌt	strʌtn	tə	tit		fɑn		frʌx	frɑu	ʋʏl	sə	sœt
